rank,journal_title,total_cites,impact_factor,eigen_factor
281,BMC Medicine,"7,331",8.005,0.03121
282,Annual Review of Analytical Chemistry,"1,742",8,0.00468
282,National Science Review,239,8,0.00142
284,CANCER TREATMENT REVIEWS,"6,110",7.983,0.01478
285,DRUG RESISTANCE UPDATES,"2,222",7.95,0.00396
286,ONCOGENE,"64,269",7.932,0.09454
287,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"16,505",7.929,0.03786
288,INTERNATIONAL MATERIALS REVIEWS,"3,211",7.914,0.00443
289,Nanotoxicology,"3,466",7.913,0.00952
290,Journal of Cachexia Sarcopenia and Muscle,901,7.883,0.00304
291,Cell Reports,"12,553",7.87,0.10256
292,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"4,583",7.841,0.01055
293,JACC-Cardiovascular Imaging,"5,248",7.815,0.02365
294,ADVANCES IN COLLOID AND INTERFACE SCIENCE,"10,115",7.813,0.01451
295,Annual Review of Earth and Planetary Sciences,"6,179",7.81,0.01158
296,JOURNAL OF INTERNAL MEDICINE,"9,090",7.803,0.0176
297,JOURNAL OF AUTOIMMUNITY,"4,998",7.76,0.01348
297,Nanoscale,"46,621",7.76,0.14622
299,SCHIZOPHRENIA BULLETIN,"14,839",7.757,0.02865
299,SCHIZOPHRENIA BULLETIN,"14,839",7.757,0.02865
301,EMBO REPORTS,"11,203",7.739,0.0304
302,GENETICS IN MEDICINE,"6,267",7.71,0.02555
303,KIDNEY INTERNATIONAL,"38,159",7.683,0.05176
304,Clinical Gastroenterology and Hepatology,"13,269",7.68,0.03856
305,Perspectives on Psychological Science,"5,279",7.658,0.02598
306,PHYSICAL REVIEW LETTERS,"394,146",7.645,0.82028
307,OncoImmunology,"2,835",7.644,0.01174
308,CURRENT OPINION IN CHEMICAL BIOLOGY,"9,752",7.643,0.02313
309,PSYCHOTHERAPY AND PSYCHOSOMATICS,"2,808",7.632,0.0046
309,PSYCHOTHERAPY AND PSYCHOSOMATICS,"2,808",7.632,0.0046
311,JACC-Cardiovascular Interventions,"6,159",7.63,0.03036
312,PSYCHOLOGICAL REVIEW,"23,958",7.581,0.01567
312,PSYCHOLOGICAL REVIEW,"23,958",7.581,0.01567
314,PROGRESS IN SURFACE SCIENCE,"1,864",7.579,0.00176
315,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,"4,486",7.571,0.0092
316,AGEING RESEARCH REVIEWS,"3,482",7.526,0.00995
316,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"3,062",7.526,0.00156
318,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"17,957",7.522,0.04205
319,CRITICAL REVIEWS IN BIOTECHNOLOGY,"2,083",7.51,0.00321
319,Obesity Reviews,"8,237",7.51,0.02501
321,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"8,788",7.509,0.02555
322,Annual Review of Nuclear and Particle Science,"2,343",7.5,0.0061
323,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,"10,376",7.487,0.01825
324,Laser & Photonics Reviews,"3,381",7.486,0.01429
325,BIOSENSORS & BIOELECTRONICS,"37,000",7.476,0.06132
326,GigaScience,636,7.463,0.00432
327,CLINICAL CHEMISTRY,"27,007",7.457,0.02868
328,JOURNAL OF CONTROLLED RELEASE,"38,589",7.441,0.05686
329,CRITICAL CARE MEDICINE,"36,267",7.422,0.06155
330,ALDRICHIMICA ACTA,"1,059",7.417,0.00212
331,JOURNAL OF PATHOLOGY,"15,687",7.381,0.03065
332,NEURO-ONCOLOGY,"7,364",7.371,0.0248
333,PROGRESS IN PHOTOVOLTAICS,"7,802",7.365,0.01705
334,Science Signaling,"8,469",7.359,0.04408
335,JOURNAL OF CATALYSIS,"41,651",7.354,0.03443
336,SLEEP MEDICINE REVIEWS,"4,392",7.341,0.01038
337,NEUROSCIENTIST,"4,096",7.295,0.01011
337,TRENDS IN PARASITOLOGY,"5,620",7.295,0.01283
339,ACADEMY OF MANAGEMENT REVIEW,"22,261",7.288,0.01322
340,CLINICAL PHARMACOLOGY & THERAPEUTICS,"14,125",7.268,0.02917
341,SPACE SCIENCE REVIEWS,"8,644",7.242,0.02446
342,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY,"2,197",7.231,0.00421
343,QUARTERLY REVIEWS OF BIOPHYSICS,"2,250",7.222,0.00359
344,JACC-Heart Failure,"1,101",7.218,0.00556
345,NEW PHYTOLOGIST,"36,941",7.21,0.07001
346,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"18,227",7.182,0.02322
346,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"18,227",7.182,0.02322
348,ACS Applied Materials & Interfaces,"54,997",7.145,0.1479
349,Molecular Plant,"5,016",7.142,0.01801
350,CURRENT OPINION IN IMMUNOLOGY,"8,781",7.126,0.02373
350,Conservation Letters,"2,229",7.126,0.0102
352,ChemSusChem,"13,420",7.116,0.03736
353,EUROPEAN JOURNAL OF EPIDEMIOLOGY,"5,789",7.105,0.01536
354,ANTIOXIDANTS & REDOX SIGNALING,"17,009",7.093,0.04558
355,Advances in Immunology,"2,328",7.064,0.00549
356,BRITISH JOURNAL OF PSYCHIATRY,"22,682",7.06,0.02494
356,BRITISH JOURNAL OF PSYCHIATRY,"22,682",7.06,0.02494
358,Kidney International Supplements,"1,063",7.026,0.00631
359,Stem Cell Reports,"1,806",7.023,0.01177
360,PLoS Pathogens,"33,136",7.003,0.14329
361,EMERGING INFECTIOUS DISEASES,"25,266",6.994,0.06268
362,EARTH-SCIENCE REVIEWS,"10,016",6.991,0.0216
362,FUNGAL DIVERSITY,"2,972",6.991,0.00689
364,mBio,"7,076",6.975,0.03972
365,BMC BIOLOGY,"3,908",6.967,0.0161
366,Annual Review of Food Science and Technology,862,6.95,0.00342
367,MOLECULAR THERAPY,"14,136",6.938,0.03586
368,PROGRESS IN QUANTUM ELECTRONICS,913,6.923,0.00142
369,JOURNAL OF INVESTIGATIVE DERMATOLOGY,"25,788",6.915,0.04312
370,Circulation-Heart Failure,"4,568",6.833,0.02312
371,RADIOLOGY,"48,521",6.798,0.07265
371,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"30,596",6.798,0.07471
373,Annual Review of Nutrition,"4,677",6.784,0.00456
374,CURRENT OPINION IN PLANT BIOLOGY,"11,242",6.78,0.02172
375,OPHTHALMOLOGY,"31,586",6.75,0.05874
376,ORGANIC LETTERS,"93,278",6.732,0.17092
377,BRITISH JOURNAL OF SPORTS MEDICINE,"13,384",6.724,0.02715
377,CANADIAN MEDICAL ASSOCIATION JOURNAL,"12,420",6.724,0.02291
379,PSYCHOLOGICAL INQUIRY,"3,164",6.714,0.00305
380,CURRENT OPINION IN STRUCTURAL BIOLOGY,"10,167",6.713,0.02644
381,AMERICAN JOURNAL OF CLINICAL NUTRITION,"53,346",6.703,0.06447
382,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"9,220",6.701,0.01354
383,HAEMATOLOGICA,"14,110",6.671,0.04188
